Cell_ID,I,J,X,Y
599,105,18,377290.31,4087525
600,106,18,378635.44,4087670
601,107,18,379930.47,4087900.25
602,108,18,381122.91,4088225.25
603,111,18,385410.28,4090660.25
604,113,18,388420.38,4092117.75
605,114,18,389768.88,4092632.25
606,115,18,391215.81,4093015
607,116,18,392672.19,4093377.5
608,117,18,393993.88,4093795
609,118,18,395118.38,4094307.5
610,119,18,396054.88,4094875.25
611,120,18,396964.41,4095374.75
612,121,18,397852.69,4095814.75
613,122,18,398724.41,4096200
614,123,18,399583.09,4096542.5
615,124,18,400431.81,4096850
616,125,18,401272.84,4097124.75
617,126,18,402106.41,4097370
618,127,18,402931.12,4097587.25
619,128,18,403742.38,4097785
620,129,18,404528.59,4097967.25
621,130,18,405272.88,4098142
622,131,18,405954.28,4098327.25
623,132,18,406556.81,4098537.25
624,133,18,407076.81,4098775
625,134,18,407523.59,4099040
626,135,18,407915.56,4099334.75
627,136,18,408274.47,4099667.5
628,137,18,408619.72,4100047.25
629,138,18,408966.72,4100485
630,139,18,409327.25,4100989.75
631,140,18,409707.97,4101575
632,141,18,410112.16,4102247
633,142,18,410540.84,4103012.5
634,143,18,410991.31,4103874.5
635,144,18,411460.03,4104835.25
636,145,18,411941.75,4105890
637,146,18,412429.19,4107040
638,147,18,412915.53,4108282.25
639,148,18,413397.44,4109599.75
640,76,19,332880.97,4119124.75
641,77,19,337045.91,4119392.25
642,78,19,340180.84,4118345
643,79,19,342373.28,4116374.75
644,80,19,345520.72,4115522.5
645,81,19,349035.81,4116942.5
646,82,19,351635.69,4116707.25
647,83,19,352860.59,4114222.75
648,84,19,353411.09,4111717.75
649,85,19,353573.59,4108779.75
650,86,19,353720.69,4106275
651,87,19,354511.72,4104642.25
652,88,19,355678.72,4103277.5
653,89,19,356975.62,4101987.25
654,90,19,358401.38,4100982
655,91,19,359796.88,4099949.75
656,92,19,361179.41,4098817.25
657,93,19,362573.84,4097730.25
658,94,19,363930.25,4096647.75
659,95,19,365215.44,4095535
660,96,19,366408.97,4094362.5
661,97,19,367509.75,4093127.75
662,98,19,368547.53,4091862.5
663,99,19,369580.25,4090640
664,100,19,370671,4089557.5
665,101,19,371857.72,4088739.75
666,102,19,373137.72,4088210
667,103,19,374477.69,4087952.75
