105 19  4     669 11625 20707 28264
106 19  4     670 11626 20708 28265
107 19  5     671 11627 20709 28266 34532
108 19 10     672 11628 20710 28267 34533 39610 43743 46996 49503 51297
110 19  1     673
111 19  1     674
113 19  3     675 11629 20711
114 19  4     676 11630 20712 28268
115 19  4     677 11631 20713 28269
116 19  5     678 11632 20714 28270 34534
117 19  7     679 11633 20715 28271 34535 39611 43744
118 19  6     680 11634 20716 28272 34536 39612
119 19  5     681 11635 20717 28273 34537
120 19  5     682 11636 20718 28274 34538
121 19  5     683 11637 20719 28275 34539
122 19  5     684 11638 20720 28276 34540
123 19  5     685 11639 20721 28277 34541
124 19  5     686 11640 20722 28278 34542
125 19  5     687 11641 20723 28279 34543
126 19  6     688 11642 20724 28280 34544 39613
127 19  6     689 11643 20725 28281 34545 39614
128 19  7     690 11644 20726 28282 34546 39615 43745
129 19  7     691 11645 20727 28283 34547 39616 43746
130 19 10     692 11646 20728 28284 34548 39617 43747 46997 49504 51298
131 19 12     693 11647 20729 28285 34549 39618 43748 46998 49505 51299 52608 53644
132 19 12     694 11648 20730 28286 34550 39619 43749 46999 49506 51300 52609 53645
133 19 12     695 11649 20731 28287 34551 39620 43750 47000 49507 51301 52610 53646
134 19  4     696 11650 20732 28288
135 19  4     697 11651 20733 28289
136 19  4     698 11652 20734 28290
137 19  6     699 11653 20735 28291 34552 39621
138 19  6     700 11654 20736 28292 34553 39622
139 19  5     701 11655 20737 28293 34554
140 19  4     702 11656 20738 28294
141 19  3     703 11657 20739
142 19  3     704 11658 20740
143 19  4     705 11659 20741 28295
144 19  6     706 11660 20742 28296 34555 39623
145 19  4     707 11661 20743 28297
